VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
SURE FIT AUTO GLASS,Business;Remit to,V004603,"2249 HIGHWAY 30 E
MOUNTAIN HOME, ID  83647-3568",MOUNTAIN HOME,USA,,SURE FIT AUTO GLASS: JAKE D REYMENT,L000033142,ID,2249 HIGHWAY 30 E,,12/20/2019 05:09:06,12/31/2154 23:59:59,83647-3568,101
SWIRE PACIFIC HOLDINGS INC,Remit to,V004604,"PO BOX 413121
SALT LAKE CITY, UT  84141-3121",SALT LAKE CITY,USA,,SWIRE PACIFIC HOLDINGS INC,L000036252,UT,PO BOX 413121,,03/19/2018 14:43:41,12/31/2154 16:59:59,84141-3121,101
SYNERGY BUSINESS SOLUTIONS INC,Business;Remit to,V004605,"16250 SW UPPER BOONES FERRY RD
PORTLAND, OR  97224-7220",PORTLAND,USA,,SYNERGY BUSINESS SOLUTIONS INC,L000033146,OR,16250 SW UPPER BOONES FERRY RD,,12/20/2019 05:09:08,12/31/2154 23:59:59,97224-7220,101
TACOMA SCREW PRODUCTS INC,Remit to,V004606,"PO BOX 35165
SEATTLE, WA  98124-5165",SEATTLE,USA,,TACOMA SCREW PRODUCTS INC,L000036253,WA,PO BOX 35165,,03/19/2018 14:43:41,12/31/2154 16:59:59,98124-5165,101
TACOMA SCREW PRODUCTS INC,Remit to,V004606,"2001 CENTER ST
TACOMA, WA  98409-7895",TACOMA,USA,,TACOMA SCREW PRODUCTS INC,L000033148,WA,2001 CENTER ST,,12/20/2019 05:09:09,12/31/2154 23:59:59,98409-7895,101
TCEQ,Business;Remit to,V004609,"12100 PARK 35 CIRCLE 
BUILDING D
AUSTIN, TX  78753",AUSTIN,USA,,TCEQ,L000045437,TX,"12100 PARK 35 CIRCLE 
BUILDING D",,07/17/2018 14:02:46,12/31/2154 16:59:59,78753,101
TCEQ,Business;Remit to,V004609,"PO BOX 13089
AUSTIN, TX  78711-3089",AUSTIN,USA,,TCEQ: FINANCIAL ADMINISTRATION,L000033154,TX,PO BOX 13089,,12/20/2019 05:09:11,12/31/2154 23:59:59,78711-3089,101
TD X ASSOCIATES LP,Remit to,V004610,"PO BOX 722528
NORMAN, OK  73070-8921",NORMAN,USA,,"TD X ASSOCIATES LP: BEAUMONT, TX",L000036255,OK,PO BOX 722528,,09-07-2023 21:48,12/31/2154 16:59:59,73070-8921,101
TECHNICAL GLASS SERVICES INC,Business;Remit to,V004612,"108 W 31ST ST
BOISE, ID  83714-6605",BOISE,USA,,TECHNICAL GLASS SERVICES INC,L000033160,ID,108 W 31ST ST,,12/20/2019 05:09:13,12/31/2154 23:59:59,83714-6605,101
TERMINIX INTERNATIONAL COMPANY LP,Business;Remit to,V004614,"P.O. BOX 22221
NEW YORK, NY  10087",NEW YORK,USA,,RAMAC (US) LLC DBA ASSURED ENVIRONMENTS,L000338982,NY,P.O. BOX 22221,,05/22/2024 00:00:00,12/31/2154 23:59:59,10087,101
TERMINIX INTERNATIONAL COMPANY LP,Remit to,V004614,"PO BOX 802155
CHICAGO, IL  60680-2131",CHICAGO,USA,,TERMINIX COMMERCIAL,L000075379,IL,PO BOX 802155,,04/28/2020 12:26:41,12/31/2154 23:59:59,60680-2131,101
TERMINIX INTERNATIONAL COMPANY LP,Remit to,V004614,"PO BOX 742592
CINCINNATI, OH  45274-2592",CINCINNATI,USA,,TERMINIX INTERNATIONAL COMPANY LP: TERMINIX COMMERCIAL,L000036256,OH,PO BOX 742592,,03/19/2018 14:43:41,12/31/2154 16:59:59,45274-2592,101
TEXAS A & M ENGINEERING EXTENSION,Remit to,V004617,"PO BOX 40006
COLLEGE STATION, TX  77842-4006",COLLEGE STATION,USA,,TEXAS A & M ENGINEERING EXTENSION,L000036257,TX,PO BOX 40006,,03/19/2018 14:43:41,12/31/2154 16:59:59,77842-4006,101
TEXAS DEPARTMENT OF LICENSING & REGULATION,Business;Remit to,V004618,"PO BOX 12157
AUSTIN, TX  78711-2157",AUSTIN,USA,,TEXAS DEPARTMENT OF LICENSING & REGULATION,L000033172,TX,PO BOX 12157,,12/20/2019 05:04:32,12/31/2154 23:59:59,78711-2157,101
TEXAS DEPARTMENT OF MOTOR VEHICLES,Business;Remit to,V004619,"PO BOX 12098
AUSTIN, TX  78711-2098",AUSTIN,USA,,TEXAS DEPT OF MOTOR VEHICLE,L000095277,TX,PO BOX 12098,,12/29/2020 17:50:03,12/31/2154 23:59:59,78711-2098,101
TEXAS DEPARTMENT OF MOTOR VEHICLES,Business;Remit to,V004619,"1925 E. BELTLINE RD, STE 100
CARROLLTON, TX  75006",CARROLLTON,USA,,TEXAS DEPARTMENT OF MOTOR VEHICLES,L000051242,TX,"1925 E. BELTLINE RD, STE 100",,12/19/2018 15:36:28,12/31/2154 16:59:59,75006,101
TEXAS DEPARTMENT OF MOTOR VEHICLES,Business;Remit to,V004619,"4000 JACKSON AVE
AUSTIN, TX  78731-6007",AUSTIN,USA,,TEXAS DEPARTMENT OF MOTOR VEHICLES,L000033174,TX,4000 JACKSON AVE,,12/20/2019 05:04:34,12/31/2154 23:59:59,78731-6007,101
TEXAS ETHICS COMMISSION,Business;Remit to,V004620,"PO BOX 12070
AUSTIN, TX  78711-2070",AUSTIN,USA,,TEXAS ETHICS COMMISSION,L000033176,TX,PO BOX 12070,,12/20/2019 05:04:35,12/31/2154 23:59:59,78711-2070,101
TEXAS HEAVY TRANSPORT LLC,Business;Remit to,V004621,"14402 CHANTILLY DR
CORPUS CHRISTI, TX  78410-5766",CORPUS CHRISTI,USA,,TEXAS HEAVY TRANSPORT LLC,L000033177,TX,14402 CHANTILLY DR,,12/20/2019 05:04:36,12/31/2154 23:59:59,78410-5766,101
TEXAS THRONE LLC,Business;Remit to,V004622,"PO BOX 997
PORTLAND, TX  78374-0997",PORTLAND,USA,,TEXAS THRONE LLC,L000036258,TX,PO BOX 997,,03/25/2024 17:33:33,12/31/2154 16:59:59,78374-0997,101
THE ANDWIN CORPORATIONS,Remit to,V004624,"PO BOX 940220
SIMI VALLEY, CA  93094-0220",SIMI VALLEY,USA,,THE ANDWIN CORPORATIONS: ANDWIN SCIENTIFIC INDUSTRIA,L000052214,CA,PO BOX 940220,,01-03-2019 05:25,12/31/2154 16:59:59,93094-0220,101
THE ANDWIN CORPORATIONS,Remit to,V004624,"PO BOX 689
WOODLAND HILLS, CA  91365-0689",WOODLAND HILLS,USA,,THE ANDWIN CORPORATIONS: ANDWIN SCIENTIFIC INDUSTRIAL,L000036260,CA,PO BOX 689,,03/19/2018 14:43:42,12/31/2154 16:59:59,91365-0689,101
THE BELT RAILWAY COMPANY OF CHICAGO,Remit to,V004627,"PO BOX 67
BEDFORD PARK, IL  60499-0067",BEDFORD PARK,USA,,THE BELT RAILWAY COMPANY OF CHICAGO,L000036261,IL,PO BOX 67,,03/19/2018 14:43:42,12/31/2154 16:59:59,60499-0067,101
THE CAR PARK LLC,Business;Remit to,V004629,"PO BOX 2237
BOISE, ID  83701-2237",BOISE,USA,,THE CAR PARK LLC,L000033193,ID,PO BOX 2237,,12/20/2019 05:04:41,12/31/2154 23:59:59,83701-2237,101
THE GEL GROUP INC,Business;Remit to,V004632,"2040 SAVAGE RD
CHARLESTON, SC  29407-4731",CHARLESTON,USA,,THE GEL GROUP INC: GEL LABORATORIES LLC,L000033198,SC,2040 SAVAGE RD,,10/16/2023 13:23:05,12/31/2154 23:59:59,29407-4731,101
THE PAPE' GROUP INC,Remit to,V004633,"PO BOX 35144 #5077
SEATTLE, WA  98124-5144",SEATTLE,USA,,THE PAPE GROUP INC,L000036264,WA,PO BOX 35144 #5077,,07-09-2020 13:18,12/31/2154 16:59:59,98124-5144,101
THE THARPE COMPANY INC,Business;Remit to,V004634,"PO BOX 60564
CHARLOTTE, NC  28260-0564",CHARLOTTE,USA,,THE THARPE COMPANY INC: ENGAGE2EXCEL,L000033202,NC,PO BOX 60564,,12/20/2019 05:04:45,12/31/2154 23:59:59,28260-0564,101
THE WALL STREET TRANSCRIPT,Business;Remit to,V004636,"622 3RD AVE FL 34
NEW YORK, NY  10017-6707",NEW YORK,USA,,THE WALL STREET TRANSCRIPT,L000033206,NY,622 3RD AVE FL 34,,12/20/2019 05:04:46,12/31/2154 23:59:59,10017-6707,101
THERMAL SCIENTIFIC INC,Remit to,V004637,"PO BOX 2273
MANSFIELD, TX  76063-2273",MANSFIELD,USA,,THERMAL SCIENTIFIC INC,L000036265,TX,PO BOX 2273,,03/19/2018 14:43:43,12/31/2154 16:59:59,76063-2273,101
THERMCO PRODUCTS INC,Business;Remit to,V004638,"10 MILLPOND DR UNIT 10
LAFAYETTE, NJ  07848-3825",LAFAYETTE,USA,,THERMCO PRODUCTS INC,L000033210,NJ,10 MILLPOND DR UNIT 10,,12/20/2019 05:04:49,12/31/2154 23:59:59,07848-3825,101
THERMO EBERLINE LLC,Remit to,V004639,"PO BOX 742857
ATLANTA, GA  30374-2857",ATLANTA,USA,,THERMO EBERLINE LLC,L000036266,GA,PO BOX 742857,,03/19/2018 14:43:43,12/31/2154 16:59:59,30374-2857,101
THERMO KING NORTHWEST INC,Remit to,V004640,"PO BOX 94098
SEATTLE, WA  98124-9498",SEATTLE,USA,,BOBCAT OF PASCO,L000036267,WA,PO BOX 94098,,03/19/2018 14:43:43,12/31/2154 16:59:59,98124-9498,101
THOMPSON TANK INC,Business;Remit to,V004643,"8029 PHLOX ST.
DOWNEY, CA  90241",DOWNEY,USA,,THOMPSON TANK INC,L000033220,CA,8029 PHLOX ST.,,02-01-2024 12:56,12/31/2154 23:59:59,90241,101
TIDAL TANK INC,Remit to,V004644,"P.O. BOX 840730
DALLAS, TX  75284-0730",DALLAS,USA,,TIDAL TANK INC,L000036268,TX,P.O. BOX 840730,,08/22/2022 14:34:18,12/31/2154 16:59:59,75284-0730,101
TIKI TRUCKING LP,Business;Remit to,V004645,"713 LINGER LN, UNIT B
AUSTIN, TX  78721-3608",AUSTIN,USA,,TIKI TRUCKING LP,L000033224,TX,"713 LINGER LN, UNIT B",,12/20/2019 05:05:00,12/31/2154 23:59:59,78721-3608,101
"TIALPHA ENVIRONMENTAL SERVICES, LLC",Remit to,V004649,"PO BOX 4029
LONGVIEW, TX  75606-4029",LONGVIEW,USA,,TITANIUM ENVIRONMENTAL SERVICES LLC,L000036270,TX,PO BOX 4029,,03/19/2018 14:43:43,12/31/2154 16:59:59,75606-4029,101
"TIALPHA ENVIRONMENTAL SERVICES, LLC",Business;Remit to,V004649,"311 E COTTON STREET
LONGVIEW, TX  75601-7522",LONGVIEW,USA,,"TIALPHA ENVIRONMENTAL SERVICES, LLC",L000033231,TX,311 E COTTON STREET,,04/25/2023 16:50:11,12/31/2154 23:59:59,75601-7522,101
TODD KOEHN,Business;Remit to,V004651,"23879 RIVER RD
GRAND VIEW, ID  83624-5084",GRAND VIEW,USA,,TODD KOEHN: DBA TK ELECTRICAL CONTRACTING,L000033235,ID,23879 RIVER RD,,12/20/2019 05:05:04,12/31/2154 23:59:59,83624-5084,101
TOTAL SCALE SERVICE INC,Business;Remit to,V004653,"PO BOX 5156
BOISE, ID  83705-0156",BOISE,USA,,TOTAL SCALE SERVICE INC,L000033239,ID,PO BOX 5156,,12/20/2019 05:05:05,12/31/2154 23:59:59,83705-0156,101
TOWN OF AMARGOSA,Business;Remit to,V004654,"821 E AMARGOSA FARM RD
AMARGOSA VALLEY, NV  89020-1707",AMARGOSA VALLEY,USA,,TOWN OF AMARGOSA,L000033241,NV,821 E AMARGOSA FARM RD,,12/20/2019 05:05:07,12/31/2154 23:59:59,89020-1707,101
TRACTOR SUPPLY CREDIT PLAN,Remit to,V004655,"PO BOX 78004, DEPT 30-1105037624
PHOENIX, AZ  85062-8004",PHOENIX,USA,,TRACTOR SUPPLY CREDIT PLAN,L000036272,AZ,"PO BOX 78004, DEPT 30-1105037624",,03/19/2018 14:43:44,12/31/2154 16:59:59,85062-8004,101
TRANSAMERICA RETIREMENT SOLUTIONS CORPORATION,Business;Remit to,V004656,"440 MAMARONECK AVE
HARRISON, NY  10528-2418",HARRISON,USA,,TRANSAMERICA RETIREMENT SOLUTIONS CORPORATION,L000033244,NY,440 MAMARONECK AVE,,12/20/2019 05:05:11,12/31/2154 23:59:59,10528-2418,101
TREASURE VALLEY COFFEE INC,Business;Remit to,V004658,"11875 PRESIDENT DR, FISCAL SERV SEC-REC #2
BOISE, ID  83713-8976",BOISE,USA,,TREASURE VALLEY COFFEE INC,L000033248,ID,"11875 PRESIDENT DR, FISCAL SERV SEC-REC #2",,12/20/2019 05:05:14,12/31/2154 23:59:59,83713-8976,101
TREASURE VALLEY PIPE SUPPLY,Business;Remit to,V004659,"3809 S EAGLESON RD
BOISE, ID  83705-4928",BOISE,USA,,TREASURE VALLEY PIPE SUPPLY,L000033250,ID,3809 S EAGLESON RD,,12/20/2019 05:05:17,12/31/2154 23:59:59,83705-4928,101
TRI-CITIES BATTERY INC,Business;Remit to,V004662,"5900 W CLEARWATER AVE
KENNEWICK, WA  99336-1846",KENNEWICK,USA,,TRI-CITIES BATTERY INC,L000033256,WA,5900 W CLEARWATER AVE,,12/20/2019 05:05:19,12/31/2154 23:59:59,99336-1846,101
TRI-CITY REGIONAL CHAMBER OF COMMERCE,Business;Remit to,V004663,"7130 W GRANDRIDGE BLVD STE C
KENNEWICK, WA  99336-7725",KENNEWICK,USA,,TRI-CITY REGIONAL CHAMBER OF COMMERCE,L000033258,WA,7130 W GRANDRIDGE BLVD STE C,,12/20/2019 05:05:21,12/31/2154 23:59:59,99336-7725,101
TRI-COLOR PAINTS LLC,Business;Remit to,V004664,"6625 S VALLEY VIEW BLVD STE 112
LAS VEGAS, NV  89118-4528",LAS VEGAS,USA,,TRI-COLOR PAINTS LLC,L000033260,NV,6625 S VALLEY VIEW BLVD STE 112,,12/20/2019 05:05:23,12/31/2154 23:59:59,89118-4528,101
TRINITY CONSULTANTS INC,Business;Remit to,V004666,"PO BOX 972047
DALLAS, TX  75397-2047",DALLAS,USA,,TRINITY CONSULTANTS INC,L000033264,TX,PO BOX 972047,,12/20/2019 05:05:25,12/31/2154 23:59:59,75397-2047,101
TRIPLE CROWN PRODUCTS INC,Business;Remit to,V004667,"102 W BOXHORN DRIVE
MUKWONAGO, WI  53149",MUKWONAGO,USA,,TRIPLE CROWN PRODUCTS INC,L000033266,WI,102 W BOXHORN DRIVE,,07-01-2020 14:11,12/31/2154 23:59:59,53149,101
TSI INCORPORATED,Remit to,V004668,"PO BOX 86, SDS 12-0764
MINNEAPOLIS, MN  55486-0764",MINNEAPOLIS,USA,,TSI INCORPORATED,L000036275,MN,"PO BOX 86, SDS 12-0764",,03/19/2018 14:43:44,12/31/2154 16:59:59,55486-0764,101
TTX COMPANY,Remit to,V004670,"22984 NETWORK PL, LOCKBOX #22984
CHICAGO, IL  60673-1229",CHICAGO,USA,,TTX COMPANY: AGENT FOR CSXT,L000036277,IL,"22984 NETWORK PL, LOCKBOX #22984",,03/19/2018 14:43:44,12/31/2154 16:59:59,60673-1229,101
TURNSTONE EH & S INC,Business;Remit to,V004672,"1322 SPACE PARK DRIVE, SUITE A155
HOUSTON, TX  77058",HOUSTON,USA,,TURNSTONE EH & S INC,L000033276,TX,"1322 SPACE PARK DRIVE, SUITE A155",,12/20/2019 05:05:40,12/31/2154 23:59:59,77058,101
UNION PACIFIC RAILROAD COMPANY,Remit to,V004674,"PO BOX 502453
ST LOUIS, MO  63150-2453",ST LOUIS,USA,,UNION PACIFIC RAILROAD COMPANY,L000057676,MO,PO BOX 502453,,05/20/2019 09:27:40,12/31/2154 16:59:59,63150-2453,101
UNION PACIFIC RAILROAD COMPANY,Remit to,V004674,"PO BOX 843465
DALLAS, TX  75284-3465",DALLAS,USA,,UNION PACIFIC RAILROAD COMPANY,L000036279,TX,PO BOX 843465,,03/19/2018 14:43:45,12/31/2154 16:59:59,75284-3465,101
UNITED STATES PLASTIC CORP,Business;Remit to,V004676,"1390 NEUBRECHT RD
LIMA, OH  45801-3120",LIMA,USA,,UNITED STATES PLASTIC CORP,L000033284,OH,1390 NEUBRECHT RD,,12/20/2019 05:10:00,12/31/2154 23:59:59,45801-3120,101
UNITED STEELWORKERS LOCAL 12-369,Remit to,V004677,"BARBARA PUGLIESE
PO BOX 644485
PITTSBURGH, PA  15264-4485",PITTSBURGH,USA,,UNITED STEELWORKERS,L000085099,PA,"BARBARA PUGLIESE
PO BOX 644485
",,09-04-2020 15:08,12/31/2154 23:59:59,15264-4485,101
UNITED WAY OF FRANKLIN & BENTON COUNTIES,Business;Remit to,V004679,"401 N YOUNG ST
KENNEWICK, WA  99336-7775",KENNEWICK,USA,,UNITED WAY OF FRANKLIN & BENTON COUNTIES,L000033290,WA,401 N YOUNG ST,,12/20/2019 05:10:03,12/31/2154 23:59:59,99336-7775,101
UNIVAR INC,Remit to,V004680,"220 HECTOR CONNOLY RD
CARENCRO, LA  70520-6300",CARENCRO,USA,,UNIVAR INC,L000036280,LA,220 HECTOR CONNOLY RD,,03/19/2018 14:43:45,12/31/2154 16:59:59,70520-6300,101
US DEPARTMENT OF ENERGY,Business;Remit to,V004683,"PO BOX 550, MSIN A7-89
RICHLAND, WA  99352-0550",RICHLAND,USA,,US DEPARTMENT OF ENERGY,L000033298,WA,"PO BOX 550, MSIN A7-89",,12/20/2019 05:10:06,12/31/2154 23:59:59,99352-0550,101
US DEPARTMENT OF TRANSPORTATION,Business;Remit to,V004684,"HAZARDOUS MATERIALS REGISTRATION
PO BOX 6200-01
PORTLAND, OR  97228-6200",PORTLAND,USA,,US DEPARTMENT OF TRANSPORTATION: HAZARDOUS MATERIALS REGISTR,L000076875,OR,"HAZARDOUS MATERIALS REGISTRATION
PO BOX 6200-01",,05/20/2020 12:51:23,12/31/2154 23:59:59,97228-6200,101
US DEPARTMENT OF TRANSPORTATION,Remit to,V004684,"PO BOX 530273
ATLANTA, GA  30353-0273",ATLANTA,USA,,US DEPARTMENT OF TRANSPORTATION: HAZARDOUS MATERIALS REGISTR,L000036281,GA,PO BOX 530273,,03/19/2018 14:43:45,12/31/2154 16:59:59,30353-0273,101
US LINEN & UNIFORM,Business;Remit to,V004685,"1106 HARDING ST
RICHLAND, WA  99352-4214",RICHLAND,USA,,US LINEN & UNIFORM: RICHLAND LAUNDRY & DRY CLEANER,L000033302,WA,1106 HARDING ST,,12/20/2019 05:10:11,12/31/2154 23:59:59,99352-4214,101
US POSTAL SERVICE,Business;Remit to,V004687,"ATTN: POSTMASTER
9320 EMNORA LN
HOUSTON, TX  77080",HOUSTON,USA,,US POSTAL SERVICES,L000095280,TX,"ATTN: POSTMASTER
9320 EMNORA LN",,12/29/2020 17:58:51,12/31/2154 23:59:59,77080,101
US POSTAL SERVICE,Remit to,V004687,"313 E MAIN AVE
ROBSTOWN, TX  78380-8001",ROBSTOWN,USA,,US POSTAL SERVICE,L000044531,TX,313 E MAIN AVE,,06/14/2018 12:48:36,12/31/2154 16:59:59,78380-8001,101
US POSTAL SERVICE,Business;Remit to,V004687,"600 E HWY 95 N
BEATTY, NV  89003-0107",BEATTY,USA,,US POSTAL SERVICE,L000033306,NV,600 E HWY 95 N,,12/20/2019 05:10:17,12/31/2154 23:59:59,89003-0107,101
VALLEY ELECTRIC ASSOCIATION,Remit to,V004692,"PO  BOX 237
PAHRUMP, NV  89041-0237",PAHRUMP,USA,,VALLEY ELECTRIC ASSOCIATION,L000036284,NV,PO  BOX 237,,03/19/2018 14:43:45,12/31/2154 16:59:59,89041-0237,101
VALLEY PUMPS INC,Business;Remit to,V004693,"5829 OCEAN DRIVE
CORPUS CHRISTI, TX  78412-2849",CORPUS CHRISTI,USA,,VALLEY PUMPS INC,L000033318,TX,5829 OCEAN DRIVE,,06/24/2022 16:36:59,12/31/2154 23:59:59,78412-2849,101
VANGUARD CLEANING SYSTEMS OF THE INLAND NORTHWEST,Business;Remit to,V004694,"920 N ARGONNE RD STE 129
SPOKANE VALLEY, WA  99212-2722",SPOKANE VALLEY,USA,,VANGUARD CLEANING SYSTEMS OF THE INLAND NORTHWEST,L000033320,WA,920 N ARGONNE RD STE 129,,12/20/2019 05:10:25,12/31/2154 23:59:59,99212-2722,101
VANGUARD TRUCK CENTER OF HOUSTON LLC,Remit to,V004695,"P.O. BOX 24306
HOUSTON, TX  77229-4306",HOUSTON,USA,,VANGUARD TRUCK CENTER OF HOUSTON LLC,L000389299,TX,P.O. BOX 24306,,11-04-2024 17:06,12/31/2154 23:59:59,77229-4306,101
VANGUARD TRUCK CENTER OF HOUSTON LLC,Business;Remit to,V004695,"PO BOX 2208
DECATUR, AL  35609-2208",DECATUR,USA,,VANGUARD TRUCK CENTER-HOU,L000178692,AL,PO BOX 2208,,04-01-2022 00:00,12/31/2154 23:59:59,35609-2208,101
VANGUARD TRUCK CENTER OF HOUSTON LLC,Remit to,V004695,"PO BOX 2250
DECATUR, AL  35601",DECATUR,USA,,VANGUARD TRUCK CENTER,L000106536,AL,PO BOX 2250,,05-06-2021 20:39,12/31/2154 23:59:59,35601,101
VANGUARD TRUCK CENTER OF HOUSTON LLC,Business;Remit to,V004695,"12935 CROSBY FRWY
HOUSTON, TX  77049",HOUSTON,USA,,VANGUARD TRUCK CENTER OF HOUSTON,L000100610,TX,12935 CROSBY FRWY,,02/26/2021 16:24:39,12/31/2154 23:59:59,77049,101
VEOLIA ENVIRONMENTAL SERVICES,Remit to,V004696,"PO BOX 73709
CHICAGO, IL  60673-7709",CHICAGO,USA,,VEOLIA ES TECHNICAL SOLUTIONS LLC,L000036288,IL,PO BOX 73709,,03/19/2018 14:43:46,12/31/2154 16:59:59,60673-7709,101
VEOLIA ENVIRONMENTAL SERVICES,Remit to,V004696,"PO BOX 70610
CHICAGO, IL  60673-0610",CHICAGO,USA,,VEOLIA ES INDUSTRIAL SERVICES INC,L000036287,IL,PO BOX 70610,,03/19/2018 14:43:46,12/31/2154 16:59:59,60673-0610,101
MBI- MEDICINE FOR BUSINESS AND INDUSTRY,Business;Remit to,V004697,"77 E THOMAS RD
SUITE 230
PHOENIX, AZ  89012",PHOENIX,USA,,MBI- MEDICINE FOR BUSINESS AND INDUSTRY,L000340499,AZ,"77 E THOMAS RD
SUITE 230",,06-03-2024 15:00,12/31/2154 23:59:59,89012,101
MBI- MEDICINE FOR BUSINESS AND INDUSTRY,Business;Remit to,V004697,"801 SOUTH RANCHO DR
SUITE F1
LAS VEGAS, NV  89105",LAS VEGAS,USA,,MBI- MEDICINE FOR BUSINESS AND INDUSTRY,L000033326,NV,"801 SOUTH RANCHO DR
SUITE F1",,06-03-2024 15:00,12/31/2154 23:59:59,89105,101
VIOLET WATER SUPPLY CORPORATION,Business;Remit to,V004698,"PO BOX 1146
ROBSTOWN, TX  78380-1146",ROBSTOWN,USA,,VIOLET WATER SUPPLY CORPORATION,L000033328,TX,PO BOX 1146,,12/20/2019 05:10:35,12/31/2154 23:59:59,78380-1146,101
"VIRTUAL ENTERPRISES, INC DBA ADVANCED SYSTEMS GROUP",Business;Remit to,V004700,"12405 GRANT ST
THORNTON, CO  80241-2415",THORNTON,USA,,"VIRTUAL ENTERPRISES, INC DBA ADVANCED SYSTEMS GROUP",L000033332,CO,12405 GRANT ST,,12/20/2019 05:10:36,12/31/2154 23:59:59,80241-2415,101
VPPPA INC,Business;Remit to,V004701,"7600 E LEESBURG PIKE STE 100
FALLS CHURCH, VA  22043-2004",FALLS CHURCH,USA,,VPPPA INC,L000033334,VA,7600 E LEESBURG PIKE STE 100,,12/20/2019 05:10:39,12/31/2154 23:59:59,22043-2004,101
VSP VISION CARE INC,Remit to,V004702,"PO BOX 742430
LOS ANGELES, CA  90074-2430",LOS ANGELES,USA,,VSP VISION CARE INC: VISION SERVICE PLAN,L000036289,CA,PO BOX 742430,,03/19/2018 14:43:46,12/31/2154 16:59:59,90074-2430,101
VULCAN CONSTRUCTION MATERIALS LP,Remit to,V004703,"PO BOX  849131
DALLAS, TX  75284-9131",DALLAS,USA,,VULCAN CONSTRUCTION MATERIALS,L000036290,TX,PO BOX  849131,,03/19/2018 14:43:46,12/31/2154 16:59:59,75284-9131,101
WALSH CERTIFIED CONSULTANTS INC,Business;Remit to,V004706,"3333 CALLE DELTORRE
LAS VEGAS, NV  89102-3905",LAS VEGAS,USA,,WALSH CERTIFIED CONSULTANTS INC,L000033344,NV,3333 CALLE DELTORRE,,12/20/2019 05:10:45,12/31/2154 23:59:59,89102-3905,101
WALZ SCALE,Business;Remit to,V004707,"656 HIGH POINT LN
EAST PEORIA, IL  61611-9329",EAST PEORIA,USA,,WALZ SCALE,L000033346,IL,656 HIGH POINT LN,,12/20/2019 05:10:47,12/31/2154 23:59:59,61611-9329,101
WASTE MANAGEMENT NATIONAL SERVICES INC,Remit to,V004710,"222 S MILL AVE, SUITE 333
TEMPE, AZ  85281",TEMPE,USA,,"WASTE MANAGEMENT NATIONAL SERVICES, INC.",L000172591,AZ,"222 S MILL AVE, SUITE 333",,04/25/2022 19:29:37,12/31/2154 23:59:59,85281,101
WASTE MANAGEMENT NATIONAL SERVICES INC,Business;Remit to,V004710,"PO BOX 932599
ATLANTA, GA  31193-2599",ATLANTA,USA,,WASTE MANAGEMENT NATIONAL SERVICES INC: DBA WM SUSTAINABILIT,L000033352,GA,PO BOX 932599,,12/20/2019 05:10:53,12/31/2154 23:59:59,31193-2599,101
WATER DISTRICT NO 2,Business;Remit to,V004711,"PO BOX 147
MOUNTAIN HOME, ID  83647-0147",MOUNTAIN HOME,USA,,WATER DISTRICT NO 2,L000033354,ID,PO BOX 147,,12/20/2019 05:10:55,12/31/2154 23:59:59,83647-0147,101
WAUKESHA-PEARCE INDUSTRIES LLC,Remit to,V004712,"P O BOX 35068
Houston, TX  77235",Houston,USA,,WAUKESHA-PEARCE INDUSTRIES LLC,L000090896,TX,P O BOX 35068,,10/13/2020 16:23:00,12/31/2154 23:59:59,77235,101
WAUKESHA-PEARCE INDUSTRIES LLC,Remit to,V004712,"PO BOX 204116
DALLAS, TX  75320-4116",DALLAS,USA,,WAUKESHA-PEARCE INDUSTRIES LLC,L000036293,TX,PO BOX 204116,,03/19/2018 14:43:47,12/31/2154 16:59:59,75320-4116,101
WEITMAN TRUCKING LLC,Remit to,V004714,"PO BOX 147
RIGBY, ID  83442-0147",RIGBY,USA,,WEITMAN TRUCKING LLC,L000033360,ID,PO BOX 147,,03/19/2018 14:31:22,12/31/2154 16:59:59,83442-0147,101
WELLS FARGO BANKS ACCOUNT ANALYSIS,Remit to,V004715,"PO BOX 77101
MINNEAPOLIS, MN  55480-7101",MINNEAPOLIS,USA,,WELLS FARGO EQUIPMENT FINANCE,L000179399,MN,PO BOX 77101,,05/25/2022 19:36:47,12/31/2154 23:59:59,55480-7101,101
WELLS FARGO BANKS ACCOUNT ANALYSIS,Business;Remit to,V004715,"PO BOX 1450, NW 7091
MINNEAPOLIS, MN  55485-1450",MINNEAPOLIS,USA,,WELLS FARGO BANKS ACCOUNT ANALYSIS,L000033362,MN,"PO BOX 1450, NW 7091",,12/20/2019 05:11:00,12/31/2154 23:59:59,55485-1450,101
WERDCO BC INC,Business;Remit to,V004717,"4660 FLIPPIN ST
LAS VEGAS, NV  89115-4429",LAS VEGAS,USA,,WERDCO BC INC,L000033366,NV,4660 FLIPPIN ST,,12/20/2019 05:11:02,12/31/2154 23:59:59,89115-4429,101
