VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
"ZAG TECHNICAL SERVICES, INC",Remit to,V004746,"PO BOX 640221
SAN JOSE, CA  95134-0221",SAN JOSE,USA,,"ZAG TECHNICAL SERVICES, INC",L000036304,CA,PO BOX 640221,,03/19/2018 14:43:48,12/31/2154 16:59:59,95134-0221,101
AMERICAN RED CROSS,Business;Remit to,V004751,"5380 WEST FRANKLIN ROAD
BOISE, ID  83705",BOISE,USA,,AMERICAN RED CROSS & ITS CONSITUANT CHAPTERS AND BRANCHES,L000070542,ID,5380 WEST FRANKLIN ROAD,,03-04-2020 13:27,12/31/2154 23:59:59,83705,101
AMERICAN RED CROSS,Business;Remit to,V004751,"25688 NETWORK PLACE
CHICAGO, IL  60673-1256",CHICAGO,USA,,AMERICAN RED CROSS,L000048267,IL,25688 NETWORK PLACE,,12/20/2019 05:05:42,12/31/2154 23:59:59,60673-1256,101
AMERICAN RED CROSS,Business;Remit to,V004751,"PO BOX 4002018, C/O HAITI RELIEF & DEVELOPMENT
DES MOINES, IA  50340-2018",DES MOINES,USA,,AMERICAN RED CROSS,L000033429,IA,"PO BOX 4002018, C/O HAITI RELIEF & DEVELOPMENT",,03/19/2018 14:31:38,12/31/2154 16:59:59,50340-2018,101
BEATTY HIGH SCHOOL,Business;Remit to,V004779,"PO BOX 806
BEATTY, NV  89003-0806",BEATTY,USA,,BEATTY HIGH SCHOOL,L000033466,NV,PO BOX 806,,12/20/2019 05:05:57,12/31/2154 23:59:59,89003-0806,101
BEATTY VOLUNTEER FIRE DEPARTMENT,Business;Remit to,V004781,"PO BOX 113
BEATTY, NV  89003-0113",BEATTY,USA,,BEATTY VOLUNTEER FIRE DEPARTMENT,L000033470,NV,PO BOX 113,,12/20/2019 05:05:58,12/31/2154 23:59:59,89003-0113,101
COMPLETE OFFICE OF WASHINGTON,Remit to,V004808,"PO BOX 88379
SEATTLE, WA  98138-2379",SEATTLE,USA,,COMPLETE OFFICE OF WASHINGTON,L000036307,WA,PO BOX 88379,,03/19/2018 14:43:49,12/31/2154 16:59:59,98138-2379,101
GRAND VIEW RURAL FIRE PRO DIST,Business;Remit to,V004817,"PO BOX 54
720 ROOSEVELT ST
GRAND VIEW, ID  83624",GRAND VIEW,USA,,GRAND VIEW RURAL FIRE PRO DIST,L000050002,ID,"PO BOX 54
720 ROOSEVELT ST",,12-04-2018 13:21,12/31/2154 16:59:59,83624,101
GRAND VIEW RURAL FIRE PRO DIST,Business;Remit to,V004817,"PO BOX 331
GRAND VIEW, ID  83624-0331",GRAND VIEW,USA,,GRAND VIEW RURAL FIRE PRO DIST: DBA GRAND VIEW YOUTH NIGHT,L000033515,ID,PO BOX 331,,12/20/2019 05:09:51,12/31/2154 23:59:59,83624-0331,101
NYE COUNTY SCHOOL DISTRICT,Remit to,V004833,"484 S WEST STREET
PAHRUMP, NV  89048",PAHRUMP,USA,, NYE COUNTY SCHOOL DISTRICT,L000486651,NV,484 S WEST STREET,,09-12-2025 15:08,12/31/2154 23:59:59,89048,101
NYE COUNTY SCHOOL DISTRICT,Business;Remit to,V004833,"4201 N BLAGG RD
PAHRUMP, NV  89060-2678",PAHRUMP,USA,,NYE COUNTY SCHOOL DISTRICT: ROSEMARY CLARKE MIDDLE SCHOOL,L000036308,NV,4201 N BLAGG RD,,03/19/2018 14:43:49,12/31/2154 16:59:59,89060-2678,101
NYE COUNTY SCHOOL DISTRICT,Business;Remit to,V004833,"501 E CALVADA BLVD
PAHRUMP, NV  89048-5613",PAHRUMP,USA,,NYE COUNTY SCHOOL DISTRICT: PAHRUMP VALLEY HIGH SCHOOL,L000033538,NV,501 E CALVADA BLVD,,12/20/2019 05:09:55,12/31/2154 23:59:59,89048-5613,101
RIMROCK BOOSTER CLUB,Remit to,V004842,"39678 STATE HIGHWAY 78
BRUNEAU, ID  83604-5131",BRUNEAU,USA,,RIMROCK JUNIOR SENIOR HIGH SCHOOL,L000036310,ID,39678 STATE HIGHWAY 78,,03/19/2018 14:43:49,12/31/2154 16:59:59,83604-5131,101
RIMROCK BOOSTER CLUB,Business;Remit to,V004842,"39678 STATE HIGHWAY 78
BRUNEAU, ID  83604-5131",BRUNEAU,USA,,RIMROCK BOOSTER CLUB,L000033551,ID,39678 STATE HIGHWAY 78,,12/20/2019 05:09:59,12/31/2154 23:59:59,83604-5131,101
12TH DISTRICT COURT,Business;Remit to,V004869,"310 S JACKSON STREET
JACKSON, MI  49201",JACKSON,USA,,12TH DISTRICT COURT,L000033591,MI,310 S JACKSON STREET,,12/20/2019 05:05:52,12/31/2154 23:59:59,49201,101
16TH DISTRICT COURT,Business;Remit to,V004870,"32765 FIVE MILE ROAD
LIVONIA, MI  48154",LIVONIA,USA,,16TH DISTRICT COURT,L000033592,MI,32765 FIVE MILE ROAD,,12/20/2019 05:05:53,12/31/2154 23:59:59,48154,101
ACCOUNT #020419,Business;Remit to,V004871,"PERMIT FEE WINDOW, US POSTAL SERVICE, PO BOX 553221
BOSTON, MA  02205-3221",BOSTON,USA,,ACCOUNT #020419,L000033593,MA,"PERMIT FEE WINDOW, US POSTAL SERVICE, PO BOX 553221",,12/20/2019 05:05:54,12/31/2154 23:59:59,02205-3221,101
ALABAMA DEPARTMENT OF ENV. MANAGEMENT,Remit to,V004872,"PO BOX 301463
MONTGOMERY, AL  36130-1463",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF ENV. MANAGEMENT,L000048531,AL,PO BOX 301463,,10/19/2018 10:09:48,12/31/2154 16:59:59,36130-1463,101
ALABAMA DEPARTMENT OF ENV. MANAGEMENT,Business;Remit to,V004872,"1400 COLISEUM BLVD
MONTGOMERY, AL  36130-1463",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF ENV. MANAGEMENT,L000033594,AL,1400 COLISEUM BLVD,,12/20/2019 05:05:57,12/31/2154 23:59:59,36130-1463,101
ALABAMA DEPARTMENT OF REVENUE,Remit to,V004873,"50 N RIPLEY ST
MONTGOMERY, AL  36130-1001",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF REVENUE,L000044439,AL,50 N RIPLEY ST,,06-12-2018 12:06,12/31/2154 16:59:59,36130-1001,101
ALABAMA DEPARTMENT OF REVENUE,Business;Remit to,V004873,"BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320
MONTGOMERY, AL  36132-7320",MONTGOMERY,USA,,ALABAMA DEPARTMENT OF REVENUE,L000033596,AL,"BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320",,12/20/2019 05:05:58,12/31/2154 23:59:59,36132-7320,101
ALABAMA DEPT OF REVENUE,Business;Remit to,V004874,"ATTN BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320
MONTGOMERY, AL  36132-7320",MONTGOMERY,USA,,ALABAMA DEPT OF REVENUE,L000033597,AL,"ATTN BUSINESS PRIVILEGE TAX SECTION, PO BOX 327320",,12/20/2019 05:06:14,12/31/2154 23:59:59,36132-7320,101
ALLEGHENY COUNTY AIRPORT AUTHORITY,Remit to,V004875,"PO BOX 642623
PITTSBURGH, PA  15264-2623",PITTSBURGH,USA,,ALLEGHENY COUNTY AIRPORT AUTHORITY,L000036317,PA,PO BOX 642623,,03/19/2018 14:43:50,12/31/2154 16:59:59,15264-2623,101
ALLEGHENY COUNTY AIRPORT AUTHORITY,Business;Remit to,V004875,"LANDSIDE TERMINAL SUITE 4000, PO BOX 12370
PITTSBURGH, PA  15231-0370",PITTSBURGH,USA,,ALLEGHENY COUNTY AIRPORT AUTHORITY,L000033598,PA,"LANDSIDE TERMINAL SUITE 4000, PO BOX 12370",,12/20/2019 05:06:15,12/31/2154 23:59:59,15231-0370,101
ALLEGHENY COUNTY DEPARTMENT OF EMERGENCY,Business;Remit to,V004876,"MCU 33010003, 400 NORTH LEXINGTON STREET SUITE 200
PITTSBURGH, PA  15208-2550",PITTSBURGH,USA,,ALLEGHENY COUNTY DEPARTMENT OF EMERGENCY,L000033600,PA,"MCU 33010003, 400 NORTH LEXINGTON STREET SUITE 200",,12/20/2019 05:06:16,12/31/2154 23:59:59,15208-2550,101
ARKANSAS DEPARTMENT OF TRANSPORTATION,Business;Remit to,V004877,"10324 INTERSTATE 30
LITTLE ROCK, AR  72209",LITTLE ROCK,USA,,ARKANSAS DEPARTMENT OF TRANSPORTATION,L000033602,AR,10324 INTERSTATE 30,,12/20/2019 05:06:18,12/31/2154 23:59:59,72209,101
ARKANSAS HIGHWAY & TRANS. DEPT.,Business;Remit to,V004878,"ATTN: HAZARDOUS WASTE PO BOX 2779
LITTLE ROCK, AR  72203",LITTLE ROCK,USA,,ARKANSAS DEPT OF TRANSPORTION,L000277719,AR,ATTN: HAZARDOUS WASTE PO BOX 2779,,08-11-2023 00:00,12/31/2154 00:00:00,72203,101
ARKANSAS HIGHWAY & TRANS. DEPT.,Business;Remit to,V004878,"PO BOX 2779
LITTLE ROCK, AR  72209",LITTLE ROCK,USA,,ARKANSAS HIGHWAY & TRANS. DEPT.,L000033603,AR,PO BOX 2779,,12/20/2019 05:06:19,12/31/2154 23:59:59,72209,101
ARKANSAS STATE HWY & TRANS DEPT,Business;Remit to,V004879,"ATTN: YOLANDA GOMILLION, PO BOX 2779
LITTLE ROCK, AR  72203-2779",LITTLE ROCK,USA,,ARKANSAS STATE HWY & TRANS DEPT,L000033604,AR,"ATTN: YOLANDA GOMILLION, PO BOX 2779",,12/20/2019 05:06:20,12/31/2154 23:59:59,72203-2779,101
AUGUSTA CHARTER TOWNSHIP,Business;Remit to,V004880,"SUSAN BUREK TREASURER, 8021 TALLADAY ROAD, PO BOX 100
WHITTAKER, MI  48190",WHITTAKER,USA,,AUGUSTA CHARTER TOWNSHIP,L000033605,MI,"SUSAN BUREK TREASURER, 8021 TALLADAY ROAD, PO BOX 100",,12/20/2019 05:06:21,12/31/2154 23:59:59,48190,101
AUGUSTA UTILITIES DEPARTMENT,Business;Remit to,V004881,"P. O. BOX 1457
AUGUSTA, GA  30903-1457",AUGUSTA,USA,,AUGUSTA UTILITIES DEPARTMENT,L000033606,GA,P. O. BOX 1457,,12/20/2019 05:06:22,12/31/2154 23:59:59,30903-1457,101
BAYONNE CHAMBER OF COMMERCE,Business;Remit to,V004882,"PO BOX 266
BAYONNE, NJ  07002",BAYONNE,USA,,BAYONNE CHAMBER OF COMMERCE,L000033608,NJ,PO BOX 266,,12/20/2019 05:06:23,12/31/2154 23:59:59,07002,101
BGE,Business;Remit to,V004883,"P O BOX 13070
PHILADELPHIA, PA  19101",PHILADELPHIA,USA,,BGE,L000033609,PA,P O BOX 13070,,12/20/2019 05:06:25,12/31/2154 23:59:59,19101,101
BOARD OF WATER COMMISSIONERS,Remit to,V004884,"NIKOLE HOWARD-WHITSETT
735 RANDOLPH ST.-7TH FLOOR
DETROIT, MI  48226",DETROIT,USA,,DETROIT WATER AND SEWERAGE DEPARTMENT,L000203033,MI,"NIKOLE HOWARD-WHITSETT
735 RANDOLPH ST.-7TH FLOOR
",,10/28/2022 20:31:08,12/31/2154 23:59:59,48226,101
BOARD OF WATER COMMISSIONERS,Business;Remit to,V004884,"MICHIGAN DEPARTMENT OF TREASURY, PO BOX 30409
LANSING, MI  48909",LANSING,USA,,TREASURER CITY OF DETROIT,L000036318,MI,"MICHIGAN DEPARTMENT OF TREASURY, PO BOX 30409",,03/19/2018 14:43:50,12/31/2154 16:59:59,48909,101
BOARD OF WATER COMMISSIONERS,Business;Remit to,V004884,"CITY OF DETROIT, PO BOX 554899
DETROIT, MI  48255-4899",DETROIT,USA,,BOARD OF WATER COMMISSIONERS,L000033610,MI,"CITY OF DETROIT, PO BOX 554899",,12/20/2019 05:06:26,12/31/2154 23:59:59,48255-4899,101
BROWARD COUNTY BOCC,Business;Remit to,V004885,"ONE N. UNIVERSITY DRIVE,, SUITE 102
PLANTATION, FL  33324",PLANTATION,USA,,BROWARD COUNTY BOCC,L000033611,FL,"ONE N. UNIVERSITY DRIVE,, SUITE 102",,12/20/2019 05:06:27,12/31/2154 23:59:59,33324,101
CALHOUN COUNTY TREASURER,Business;Remit to,V004886,"315 WEST GREEN STREET
MARSHALL, MI  49068",MARSHALL,USA,,CALHOUN COUNTY TREASURER,L000033613,MI,315 WEST GREEN STREET,,12/20/2019 05:06:28,12/31/2154 23:59:59,49068,101
CALIFORNIA HIGHWAY PATROL,Business;Remit to,V004887,"PO BOX 942898
SACRAMENTO, CA  94298-0001",SACRAMENTO,USA,,CALIFORNIA HIGHWAY PATROL,L000033614,CA,PO BOX 942898,,12/20/2019 05:06:29,12/31/2154 23:59:59,94298-0001,101
CALIFORNIA STATE BOARD OF PHARMACY,Remit to,V004888,"DEPARTMENT OF CONSUMER AFFAIRS
PO BOX 942533
SACRAMENTO, CA  94258-0533",SACRAMENTO,USA,,CALIFORNIA STATE BOARD OF PHARMACY,L000047410,CA,"DEPARTMENT OF CONSUMER AFFAIRS
PO BOX 942533",,09-09-2021 17:22,12/31/2154 16:59:59,94258-0533,101
CALIFORNIA STATE BOARD OF PHARMACY,Remit to,V004888,"STATE OF CALIFORNIA
7200 OSD 5596
PO BOX 942533
SACRAMENTO, CA  94258-0533",SACRAMENTO,USA,,BOARD OF PHARMACY,L000044449,CA,"STATE OF CALIFORNIA
7200 OSD 5596
PO BOX 942533",,06/20/2018 07:09:45,12/31/2154 16:59:59,94258-0533,101
CALIFORNIA STATE BOARD OF PHARMACY,Business;Remit to,V004888,"1625 N. MARKET BLVD., SUITE  N219
SACRAMENTO, CA  95834",SACRAMENTO,USA,,CALIFORNIA STATE BOARD OF PHARMACY,L000033616,CA,"1625 N. MARKET BLVD., SUITE  N219",,12/20/2019 05:06:30,12/31/2154 23:59:59,95834,101
CANTON CITY UTILITIES,Business;Remit to,V004890,"306 2ND STREET SE
CANTON, OH  44702",CANTON,USA,,CANTON CITY UTILITIES,L000033619,OH,306 2ND STREET SE,,12/20/2019 05:06:31,12/31/2154 23:59:59,44702,101
CANTON REGIONAL CHAMBER OF COMMERCE,Business;Remit to,V004891,"222 MARKET AVE. N.
CANTON, OH  44702-1418",CANTON,USA,,CANTON REGIONAL CHAMBER OF COMMERCE,L000033621,OH,222 MARKET AVE. N.,,12/20/2019 05:06:33,12/31/2154 23:59:59,44702-1418,101
CASCADE CHARTER TOWNSHIP,Remit to,V004892,"5920 TAHOE DR SE
GRAND RAPIDS, MI  49546-7123",GRAND RAPIDS,USA,,CASCADE CHARTER TOWNSHIP TREASURER,L000120694,MI,5920 TAHOE DR SE,,07/14/2021 14:49:40,12/31/2154 23:59:59,49546-7123,101
CASCADE CHARTER TOWNSHIP,Business;Remit to,V004892,"KENNETH B PEIRCE TREASURER, 2865 THORNHILLS AVE SE
GRAND RAPIDS, MI  49546-7140",GRAND RAPIDS,USA,,CASCADE CHARTER TOWNSHIP,L000033622,MI,"KENNETH B PEIRCE TREASURER, 2865 THORNHILLS AVE SE",,12/20/2019 05:06:34,12/31/2154 23:59:59,49546-7140,101
CHARTER TOWNSHIP OF VAN BUREN,Business;Remit to,V004893,"SHARRY A. BUDD, TREASURER, 46425 TYLER ROAD
VAN BUREN TOWNSHIP, MI  48111-1299",VAN BUREN TOWNSHIP,USA,,CHARTER TOWNSHIP OF VAN BUREN,L000036319,MI,"SHARRY A. BUDD, TREASURER, 46425 TYLER ROAD",,03/19/2018 14:43:50,12/31/2154 16:59:59,48111-1299,101
CHARTER TOWNSHIP OF VAN BUREN,Business;Remit to,V004893,"VAN BUREN TOWNSHIP WATER & SEWER DEPT., 46425 TYLER RD
VAN BUREN, MI  48111",VAN BUREN,USA,,CHARTER TOWNSHIP OF VAN BUREN,L000033623,MI,"VAN BUREN TOWNSHIP WATER & SEWER DEPT., 46425 TYLER RD",,12/20/2019 05:06:35,12/31/2154 23:59:59,48111,101
CHARTER TOWNSHIP OF YPSILANTI,Business;Remit to,V004894,"STAN ELDRIDGE, TREASURER, 7200 S HURON RIVER DRIVE
YPSILANTI, MI  48197",YPSILANTI,USA,,CHARTER TOWNSHIP OF YPSILANTI,L000033625,MI,"STAN ELDRIDGE, TREASURER, 7200 S HURON RIVER DRIVE",,07/24/2023 12:52:14,12/31/2154 23:59:59,48197,101
CITY OF ALEXANDER CITY,Business;Remit to,V004895,"BUSINESS LICENSE, PO BOX 552
ALEXANDER CITY, AL  35011",ALEXANDER CITY,USA,,CITY OF ALEXANDER CITY,L000033626,AL,"BUSINESS LICENSE, PO BOX 552",,12/20/2019 05:06:37,12/31/2154 23:59:59,35011,101
CITY OF ALLEN PARK,Business;Remit to,V004896,"16125 WHITE
ALLEN PARK, MI  48101",ALLEN PARK,USA,,CITY OF ALLEN PARK,L000064389,MI,16125 WHITE,,10/24/2019 05:49:18,12/31/2154 16:59:59,48101,101
CITY OF ALLEN PARK,Business;Remit to,V004896,"16850 SOUTHFIELD ROAD
ALLEN PARK, MI  48101",ALLEN PARK,USA,,CITY OF ALLEN PARK,L000033627,MI,16850 SOUTHFIELD ROAD,,12/20/2019 05:06:37,12/31/2154 23:59:59,48101,101
CITY OF APACHE JUNCTION,Business;Remit to,V004897,"TAX & LICENSING DIVISION, 300 E SUPERSTITION BLVD
APACHE JUNCTION, AZ  85119",APACHE JUNCTION,USA,,CITY OF APACHE JUNCTION,L000033628,AZ,"TAX & LICENSING DIVISION, 300 E SUPERSTITION BLVD",,12/20/2019 05:06:38,12/31/2154 23:59:59,85119,101
CITY OF ATLANTA,Business;Remit to,V004898,"DEPT OF WATERSHED MANAGEMENT, P O BOX 105275
ATLANTA, GA  30348-5275",ATLANTA,USA,,CITY OF ATLANTA,L000033629,GA,"DEPT OF WATERSHED MANAGEMENT, P O BOX 105275",,12/20/2019 05:06:39,12/31/2154 23:59:59,30348-5275,101
CITY OF BOSTON,Business;Remit to,V004899,"1010  MASSACHUSETTS AVE, 4TH FL
BOSTON, MA  02118",BOSTON,USA,,CITY OF BOSTON,L000220340,MA,"1010  MASSACHUSETTS AVE, 4TH FL",,12-12-2022 00:00,12/31/2154 23:59:59,02118,101
CITY OF BOSTON,Remit to,V004899,"1 CITY HALL SQ RM 601
BOSTON, MA  02201-1020",BOSTON,USA,,CITY OF BOSTON: OFFICE OF THE CITY CLERK,L000044456,MA,1 CITY HALL SQ RM 601,,06/13/2018 06:15:47,12/31/2154 16:59:59,02201-1020,101
CITY OF BOSTON,Business;Remit to,V004899,"PO BOX 55809
BOSTON, MA  02205",BOSTON,USA,,CITY OF BOSTON,L000033630,MA,PO BOX 55809,,12/20/2019 05:06:41,12/31/2154 23:59:59,02205,101
CITY OF BROCKTON,Business;Remit to,V004900,"45 SCHOOL STREET
BROCKTON, MA  02301",BROCKTON,USA,,CITY OF BROCKTON,L000338987,MA,45 SCHOOL STREET,,05/22/2024 00:00:00,12/31/2154 23:59:59,02301,101
CITY OF BROCKTON,Business;Remit to,V004900,"OFFICE OF COLLECTOR OR TAXES, 45 SCHOOL ST.
BROCKTON, MA  02301-4059",BROCKTON,USA,,CITY OF BROCKTON,L000033631,MA,"OFFICE OF COLLECTOR OR TAXES, 45 SCHOOL ST.",,12/20/2019 05:06:42,12/31/2154 23:59:59,02301-4059,101
CITY OF CIRCLEVILLE,Business;Remit to,V004901,"DEPARTMETN OF PUBLIC UTILITIES, CITY ADMINISTRATION BUILDING, 108 EAST FRANKLIN STREET
CIRCLEVILLE, OH  43113",CIRCLEVILLE,USA,,CITY OF CIRCLEVILLE,L000033632,OH,"DEPARTMETN OF PUBLIC UTILITIES, CITY ADMINISTRATION BUILDING, 108 EAST FRANKLIN STREET",,12/20/2019 05:06:43,12/31/2154 23:59:59,43113,101
CITY OF DETROIT,Business;Remit to,V004903,"P.O. BOX 33815
DETROIT, MI  48232-3185",DETROIT,USA,,CITY OF DETROIT - REVENUE COLLECTIONS,L000345005,MI,P.O. BOX 33815,,06/21/2024 13:21:51,12/31/2154 23:59:59,48232-3185,101
CITY OF DETROIT,Remit to,V004903,"PO BOX 33813
DETROIT, MI  48232-5813",DETROIT,USA,,CITY OF DETROIT TREASURER,L000114371,MI,PO BOX 33813,,05/19/2021 22:02:59,12/31/2154 23:59:59,48232-5813,101
CITY OF DETROIT,Remit to,V004903,"2 WOODWARD AVENUE, RM 13O
DETROIT, MI  48226",DETROIT,USA,,OFFICE OF THE CHIEF FINANCIAL OFFICER,L000072651,MI,"2 WOODWARD AVENUE, RM 13O",,03/26/2020 13:12:32,12/31/2154 23:59:59,48226,101
CITY OF DETROIT,Business;Remit to,V004903,"PO BOX 33193
DETROIT, MI  48232-3193",DETROIT,USA,,CITY OF DETROIT - PROPERTY TAX,L000060493,MI,PO BOX 33193,,07/22/2019 06:32:32,12/31/2154 16:59:59,48232-3193,101
CITY OF DETROIT,Remit to,V004903,"2 WOODWARD AVENUE
SUITE 611
DETROIT, MI  48226",DETROIT,USA,,CITY OF DETROIT DEPT OF PUBLIC WORKS,L000047608,MI,"2 WOODWARD AVENUE
SUITE 611",,09/18/2018 12:22:09,12/31/2154 16:59:59,48226,101
CITY OF DETROIT,Business;Remit to,V004903,"BUILDING & SAFETY ENGINEERING, 402 COLEMAN A YOUNG MUNICIPAL
DETROIT, MI  48226",DETROIT,USA,,CITY OF DETROIT-BUILDING SAFETY,L000036323,MI,"BUILDING & SAFETY ENGINEERING, 402 COLEMAN A YOUNG MUNICIPAL",,03/19/2018 14:43:51,12/31/2154 16:59:59,48226,101
CITY OF DETROIT,Business;Remit to,V004903,"TREASURY DIVISION, 2 WOODWARD AVE ROOM 105
DETROIT, MI  48226",DETROIT,USA,,CITY OF DETROIT FINANCE DEPARTMENT,L000036322,MI,"TREASURY DIVISION, 2 WOODWARD AVE ROOM 105",,03/19/2018 14:43:51,12/31/2154 16:59:59,48226,101
CITY OF DETROIT,Remit to,V004903,"TREASURY DIVISION, COLEMAN A YOUNG MUNICIPAL CENTER, 2 WOODWARD AVE ROOM 136
DETROIT, MI  48226",DETROIT,USA,,CITY OF DETROIT FINANCE DEPARTMENT,L000036321,MI,"TREASURY DIVISION, COLEMAN A YOUNG MUNICIPAL CENTER, 2 WOODWARD AVE ROOM 136",,03/19/2018 14:43:51,12/31/2154 16:59:59,48226,101
CITY OF DETROIT,Business;Remit to,V004903,"TREASURER, ATTN: ANGELS' NIGHT RAYMOND SOLOMON II, 2 WOODWARD AVE SUITE 1126
DETROIT, MI  48226",DETROIT,USA,,CITY OF DETROIT,L000036320,MI,"TREASURER, ATTN: ANGELS' NIGHT RAYMOND SOLOMON II, 2 WOODWARD AVE SUITE 1126",,03/19/2018 14:43:51,12/31/2154 16:59:59,48226,101
CITY OF DETROIT,Business;Remit to,V004903,"DEPARTMENT 268301, PO BOX 55000
DETROIT, MI  48255-2683",DETROIT,USA,,CITY OF DETROIT - PROPERTY TAX,L000033635,MI,"DEPARTMENT 268301, PO BOX 55000",,12/20/2019 05:06:45,12/31/2154 23:59:59,48255-2683,101
"CITY OF ELIZABETH,  NEW JERSEY",Business;Remit to,V004904,"ELIZABETH MARINA, 71 FRONT STREET
ELIZABETH, NJ  07206",ELIZABETH,USA,,"CITY OF ELIZABETH,  NEW JERSEY",L000033636,NJ,"ELIZABETH MARINA, 71 FRONT STREET",,12/20/2019 05:06:46,12/31/2154 23:59:59,07206,101
CITY OF FLAT ROCK,Business;Remit to,V004905,"25500 GIBRALTAR ROAD
FLAT ROCK, MI  48134",FLAT ROCK,USA,,CITY OF FLAT ROCK,L000033637,MI,25500 GIBRALTAR ROAD,,12/20/2019 05:06:47,12/31/2154 23:59:59,48134,101
CITY OF GREENWOOD,Business;Remit to,V004906,"P.O. BOX 40
GREENWOOD, SC  29648",GREENWOOD,USA,,CITY OF GREENWOOD,L000033638,SC,P.O. BOX 40,,12/20/2019 05:06:48,12/31/2154 23:59:59,29648,101
CITY OF HARVEY,Business;Remit to,V004907,"15320 BROADWAY AVE.
HARVEY, IL  60426",HARVEY,USA,,CITY OF HARVEY,L000033640,IL,15320 BROADWAY AVE.,,12/20/2019 05:06:53,12/31/2154 23:59:59,60426,101
CITY OF INDIANAPOLIS,Business;Remit to,V004908,"200 E WASHINGTON STREET, ROOM 2260, OFICE OF FINANCE & MANAGEMENT
INDIANAPOLIS, IN  46204",INDIANAPOLIS,USA,,CITY OF INDIANAPOLIS,L000033642,IN,"200 E WASHINGTON STREET, ROOM 2260, OFICE OF FINANCE & MANAGEMENT",,12/20/2019 05:06:54,12/31/2154 23:59:59,46204,101
CITY OF KALAMAZOO,Business;Remit to,V004909,"415 STOCKBRIDGE AVENUE
KALAMAZOO, MI  49007",KALAMAZOO,USA,,CITY OF KALAMAZOO,L000033643,MI,415 STOCKBRIDGE AVENUE,,12/20/2019 05:06:56,12/31/2154 23:59:59,49007,101
CITY OF LIVONIA,Business;Remit to,V004910,"33000 CIVIC CENTER DRIVE
LIVONIA, MI  48154-3060",LIVONIA,USA,,CITY OF LIVONIA,L000033644,MI,33000 CIVIC CENTER DRIVE,,12/20/2019 05:06:58,12/31/2154 23:59:59,48154-3060,101
CITY OF MONROE OHIO,Business;Remit to,V004912,"233 SOUTH MAIN STREET
MONROE, OH  45050",MONROE,USA,,CITY OF MONROE OHIO,L000033647,OH,233 SOUTH MAIN STREET,,12/20/2019 05:07:03,12/31/2154 23:59:59,45050,101
CITY OF ONTARIO,Business;Remit to,V004913,"303 E. ""B"" STREET
ONTARIO, CA  91764",ONTARIO,USA,,CITY OF ONTARIO,L000033648,CA,"303 E. ""B"" STREET",,12/20/2019 05:07:06,12/31/2154 23:59:59,91764,101
CITY OF ROMULUS,Business;Remit to,V004915,"ROMULUS PUMPKIN FESTIVAL
11111 WAYNE RD
ROMULUS, MI  48174",ROMULUS,USA,,CITY OF ROMULUS,L000241567,MI,"ROMULUS PUMPKIN FESTIVAL
11111 WAYNE RD",,05/23/2023 12:45:46,12/31/2154 23:59:59,48174,101
CITY OF ROMULUS,Business;Remit to,V004915,"FRIENDS OF THE NEW ROMULUS ANIMAL SHELTER
11111 WAYNE RD
ROMULUS, MI  48174",ROMULUS,USA,,CITY OF ROMULUS,L000072461,MI,"FRIENDS OF THE NEW ROMULUS ANIMAL SHELTER
11111 WAYNE RD",,05-02-2023 13:16,12/31/2154 23:59:59,48174,101
CITY OF ROMULUS,Business;Remit to,V004915,"TREASURER'S OFFICE, 11111 WAYNE ROAD
ROMULUS, MI  48174",ROMULUS,USA,,CITY OF ROMULUS,L000036324,MI,"TREASURER'S OFFICE, 11111 WAYNE ROAD",,03/19/2018 14:43:51,12/31/2154 16:59:59,48174,101
CITY OF ROMULUS,Business;Remit to,V004915,"11111 WAYNE ROAD
ROMULUS, MI  48174",ROMULUS,USA,,CITY OF ROMULUS,L000033652,MI,11111 WAYNE ROAD,,12/20/2019 05:07:08,12/31/2154 23:59:59,48174,101
CITY OF TAMPA,Business;Remit to,V004917,"PO BOX 23328
TAMPA, FL  33623-3328",TAMPA,USA,,CITY OF TAMPA-ORACLE LOCKBOX,L000178669,FL,PO BOX 23328,,04-01-2022 00:00,12/31/2154 23:59:59,33623-3328,101
CITY OF TAMPA,Business;Remit to,V004917,"P.O. BOX 2192
TAMPA, FL  33601-2192",TAMPA,USA,,TAMPA PORT AUTHORITY,L000046046,FL,P.O. BOX 2192,,08-01-2018 06:20,12/31/2154 16:59:59,33601-2192,101
